timestamp,datetime,total_spots,occupied_spots,free_spots,occupancy_rate
1744517353,2025-04-13 07:09:13,11,11,0,1.00
1744518623,2025-04-13 07:30:23,11,11,0,1.00
1744518624,2025-04-13 07:30:24,11,11,0,1.00
1744519290,2025-04-13 07:41:30,11,11,0,1.00
1744519940,2025-04-13 07:52:20,11,10,1,0.91
1744520545,2025-04-13 08:02:25,11,10,1,0.91
1744521311,2025-04-13 08:15:11,11,10,1,0.91
1744521312,2025-04-13 08:15:12,11,10,1,0.91
1744521909,2025-04-13 08:25:09,11,11,0,1.00
1744522523,2025-04-13 08:35:23,11,11,0,1.00
1744523169,2025-04-13 08:46:09,11,11,0,1.00
1744523791,2025-04-13 08:56:31,11,11,0,1.00
1744524403,2025-04-13 09:06:43,11,11,0,1.00
1744525002,2025-04-13 09:16:42,11,11,0,1.00
1744525003,2025-04-13 09:16:43,11,11,0,1.00
1744526260,2025-04-13 09:37:40,11,11,0,1.00
1744526858,2025-04-13 09:47:38,11,9,2,0.82
1744527459,2025-04-13 09:57:39,11,11,0,1.00
1744529339,2025-04-13 10:28:59,11,11,0,1.00
1744529945,2025-04-13 10:39:05,11,11,0,1.00
1744530546,2025-04-13 10:49:06,11,11,0,1.00
1744531186,2025-04-13 10:59:46,11,11,0,1.00
1744531799,2025-04-13 11:09:59,11,11,0,1.00
1744533008,2025-04-13 11:30:08,11,11,0,1.00
1744533610,2025-04-13 11:40:10,11,11,0,1.00
1744533611,2025-04-13 11:40:11,11,11,0,1.00
1744534211,2025-04-13 11:50:11,11,11,0,1.00
1744534442,2025-04-13 11:54:02,11,11,0,1.00
1744534812,2025-04-13 12:00:12,11,11,0,1.00
1744535436,2025-04-13 12:10:36,11,11,0,1.00
1744536038,2025-04-13 12:20:38,11,11,0,1.00
1744536676,2025-04-13 12:31:16,11,11,0,1.00
1744537275,2025-04-13 12:41:15,11,11,0,1.00
1744537875,2025-04-13 12:51:15,11,11,0,1.00
1744538480,2025-04-13 13:01:20,11,11,0,1.00
1744539100,2025-04-13 13:11:40,11,11,0,1.00
1744539713,2025-04-13 13:21:53,11,11,0,1.00
1744540320,2025-04-13 13:32:00,11,11,0,1.00
